family,n_mu_levels,mu_tokens,increment,md5_wire_block,odb_paths
1020_2a_24_rd_1500_cal_0_v_20,3,0100 025 050,6495697,2cad594077,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1500_cal_0_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1500_cal_0_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1500_cal_0_v_20_f_050.odb
1020_2a_24_rd_1500_cal_0_v_5,3,0100 025 050,20039001,ee788d937f,E:/AISI_1020/Vel_5_updated/1020_2a_24_rd_1500_cal_0_v_5_f_0100.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_24_rd_1500_cal_0_v_5_f_025.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_24_rd_1500_cal_0_v_5_f_050.odb
1020_2a_24_rd_1500_cal_100_v_20,3,0100 025 050,7319129,ba5a814827,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1500_cal_100_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1500_cal_100_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1500_cal_100_v_20_f_050.odb
1020_2a_24_rd_1500_cal_100_v_5,3,0100 025 050,22617762,64cbe6b353,E:/AISI_1020/Vel_5_updated/1020_2a_24_rd_1500_cal_100_v_5_f_0100.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_24_rd_1500_cal_100_v_5_f_025.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_24_rd_1500_cal_100_v_5_f_050.odb
1020_2a_24_rd_1500_cal_10_v_20,3,0100 025 050,6562398,5623802c2c,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1500_cal_10_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1500_cal_10_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1500_cal_10_v_20_f_050.odb
1020_2a_24_rd_1500_cal_30_v_20,3,0100 025 050,6732506,9f8b34ab85,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1500_cal_30_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1500_cal_30_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1500_cal_30_v_20_f_050.odb
1020_2a_24_rd_1500_cal_50_v_20,3,0100 025 050,6901128,b9ad27c1b3,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1500_cal_50_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1500_cal_50_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1500_cal_50_v_20_f_050.odb
1020_2a_24_rd_1500_cal_75_v_20,3,0100 025 050,7109384,a8c7919a1b,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1500_cal_75_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1500_cal_75_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_1500_cal_75_v_20_f_050.odb
1020_2a_24_rd_150_cal_0_v_20,3,0100 025 050,3834374,701026cdb9,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_150_cal_0_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_150_cal_0_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_150_cal_0_v_20_f_050.odb
1020_2a_24_rd_150_cal_100_v_20,3,0100 025 050,4346611,0c5052077e,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_150_cal_100_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_150_cal_100_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_150_cal_100_v_20_f_050.odb
1020_2a_24_rd_150_cal_10_v_20,3,0100 025 050,3854340,5e925f95de,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_150_cal_10_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_150_cal_10_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_150_cal_10_v_20_f_050.odb
1020_2a_24_rd_150_cal_30_v_20,3,0100 025 050,3962491,3cf6205459,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_150_cal_30_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_150_cal_30_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_150_cal_30_v_20_f_050.odb
1020_2a_24_rd_150_cal_50_v_20,3,0100 025 050,4073311,fc5de9050e,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_150_cal_50_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_150_cal_50_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_150_cal_50_v_20_f_050.odb
1020_2a_24_rd_150_cal_75_v_20,3,0100 025 050,4203873,7920758c6d,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_150_cal_75_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_150_cal_75_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_150_cal_75_v_20_f_050.odb
1020_2a_24_rd_2000_cal_0_v_20,3,0100 025 050,8609172,91e8ae544f,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_2000_cal_0_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_2000_cal_0_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_2000_cal_0_v_20_f_050.odb
1020_2a_24_rd_2000_cal_100_v_20,3,0100 025 050,9644497,dd6d67eea9,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_2000_cal_100_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_2000_cal_100_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_2000_cal_100_v_20_f_050.odb
1020_2a_24_rd_2000_cal_10_v_20,3,0100 025 050,8673326,9686c85c7d,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_2000_cal_10_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_2000_cal_10_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_2000_cal_10_v_20_f_050.odb
1020_2a_24_rd_2000_cal_30_v_20,3,0100 025 050,8887591,480dbfdb2d,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_2000_cal_30_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_2000_cal_30_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_2000_cal_30_v_20_f_050.odb
1020_2a_24_rd_2000_cal_50_v_20,3,0100 025 050,8950442,405ba0099a,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_2000_cal_50_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_2000_cal_50_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_2000_cal_50_v_20_f_050.odb
1020_2a_24_rd_2000_cal_75_v_20,3,0100 025 050,9372772,e14e91c1e2,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_2000_cal_75_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_2000_cal_75_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_24_rd_2000_cal_75_v_20_f_050.odb
1020_2a_32_rd_1000_cal_0_v_10,3,0100 025 050,4162549,182a0879d2,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_0_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_0_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_0_v_10_fric_050.odb
1020_2a_32_rd_1000_cal_100_v_10,3,0100 025 050,4723510,fde38d5d11,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_100_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_100_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_100_v_10_fric_050.odb
1020_2a_32_rd_1000_cal_10_v_10,3,0100 025 050,4216262,c3d60d2df0,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_10_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_10_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_10_v_10_fric_050.odb
1020_2a_32_rd_1000_cal_30_v_10,3,0100 025 050,4324102,004e0d50a5,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_30_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_30_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_30_v_10_fric_050.odb
1020_2a_32_rd_1000_cal_50_v_10,3,0100 025 050,4448186,158bdc0ec5,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_50_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_50_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_50_v_10_fric_050.odb
1020_2a_32_rd_1000_cal_75_v_10,3,0100 025 050,4579652,e0349b37db,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_75_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_75_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1000_cal_75_v_10_fric_050.odb
1020_2a_32_rd_1500_cal_0_v_10,3,0100 025 050,5220482,9adf34e26e,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_0_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_0_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_0_v_10_fric_050.odb
1020_2a_32_rd_1500_cal_100_v_10,3,0100 025 050,5944777,3be4e271b9,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_100_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_100_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_100_v_10_fric_050.odb
1020_2a_32_rd_1500_cal_30_v_10,3,0100 025 050,5433614,e634ebf704,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_30_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_30_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_30_v_10_fric_050.odb
1020_2a_32_rd_1500_cal_50_v_10,3,0100 025 050,5585906,af378fde60,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_50_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_50_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_50_v_10_fric_050.odb
1020_2a_32_rd_1500_cal_75_v_10,3,0100 025 050,5766359,b61b084671,V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_75_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_75_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_1500_cal_75_v_10_fric_050.odb
1020_2a_32_rd_150_cal_0_v_10,3,0100 025 050,3251081,c0be58c7c5,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_0_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_0_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_0_v_10_fric_050.odb
1020_2a_32_rd_150_cal_100_v_10,3,0100 025 050,3745698,d0ff6c6e21,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_100_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_100_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_100_v_10_fric_050.odb
1020_2a_32_rd_150_cal_10_v_10,3,0100 025 050,3308948,b8507ee91b,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_10_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_10_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_10_v_10_fric_050.odb
1020_2a_32_rd_150_cal_30_v_10,3,0100 025 050,3407463,46bfc39603,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_30_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_30_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_30_v_10_fric_050.odb
1020_2a_32_rd_150_cal_50_v_10,3,0100 025 050,3505818,250ae3ed5d,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_50_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_50_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_50_v_10_fric_050.odb
1020_2a_32_rd_150_cal_75_v_10,3,0100 025 050,3621398,338bb77a41,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_75_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_75_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_75_v_10_fric_050.odb
1020_2a_32_rd_2000_cal_0_v_10,3,0100 025 050,6644727,9cd77b8e39,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_0_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_0_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_0_v_10_fric_050.odb
1020_2a_32_rd_2000_cal_100_v_10,3,0100 025 050,7563969,e2a820f715,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_100_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_100_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_100_v_10_fric_050.odb
1020_2a_32_rd_2000_cal_10_v_10,3,0100 025 050,6722411,89ab912c59,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_10_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_10_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_10_v_10_fric_050.odb
1020_2a_32_rd_2000_cal_30_v_10,3,0100 025 050,6899284,652e3a5e23,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_30_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_30_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_30_v_10_fric_050.odb
1020_2a_32_rd_2000_cal_50_v_10,3,0100 025 050,7074756,66ebc8d7ef,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_50_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_50_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_50_v_10_fric_050.odb
1020_2a_32_rd_2000_cal_75_v_10,3,0100 025 050,7340976,493ac389c1,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_75_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_75_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_75_v_10_fric_050.odb
1020_2a_32_rd_2500_cal_0_v_10,3,0100 025 050,11417920,650cb40826,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2500_cal_0_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_2500_cal_0_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_32_rd_2500_cal_0_v_10_fric_050.odb
1020_2a_40_rd_1000_cal_0_v_10,3,0100 025 050,11853043,20fc4dc662,V:/Wire_drawing/2026/odb/1020_2a_40_rd_1000_cal_0_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1000_cal_0_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1000_cal_0_v_10_fric_050.odb
1020_2a_40_rd_1000_cal_0_v_5,3,0100 025 050,17828782,bef33c36ac,E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1000_cal_0_v_5_f_0100.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1000_cal_0_v_5_f_025.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1000_cal_0_v_5_f_050.odb
1020_2a_40_rd_1000_cal_100_v_10,3,0100 025 050,13410482,534e47de4d,V:/Wire_drawing/2026/odb/1020_2a_40_rd_1000_cal_100_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1000_cal_100_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1000_cal_100_v_10_fric_050.odb
1020_2a_40_rd_1000_cal_100_v_5,3,0100 025 050,20549577,e1fb303006,E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1000_cal_100_v_5_f_0100.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1000_cal_100_v_5_f_025.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1000_cal_100_v_5_f_050.odb
1020_2a_40_rd_1000_cal_10_v_10,3,0100 025 050,11986080,8c04734c62,V:/Wire_drawing/2026/odb/1020_2a_40_rd_1000_cal_10_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1000_cal_10_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1000_cal_10_v_10_fric_050.odb
1020_2a_40_rd_1000_cal_10_v_5,3,0100 025 050,18194543,33eb3e9c82,E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1000_cal_10_v_5_f_0100.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1000_cal_10_v_5_f_025.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1000_cal_10_v_5_f_050.odb
1020_2a_40_rd_1000_cal_30_v_10,3,0100 025 050,12289682,f72bbfc9f4,V:/Wire_drawing/2026/odb/1020_2a_40_rd_1000_cal_30_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1000_cal_30_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1000_cal_30_v_10_fric_050.odb
1020_2a_40_rd_1000_cal_30_v_5,3,0100 025 050,18679303,8c6e8fb63b,E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1000_cal_30_v_5_f_0100.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1000_cal_30_v_5_f_025.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1000_cal_30_v_5_f_050.odb
1020_2a_40_rd_1000_cal_50_v_10,3,0100 025 050,12623858,61612d9438,V:/Wire_drawing/2026/odb/1020_2a_40_rd_1000_cal_50_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1000_cal_50_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1000_cal_50_v_10_fric_050.odb
1020_2a_40_rd_1000_cal_50_v_5,3,0100 025 050,19222201,cc7a39d18f,E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1000_cal_50_v_5_f_0100.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1000_cal_50_v_5_f_025.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1000_cal_50_v_5_f_050.odb
1020_2a_40_rd_1000_cal_75_v_10,3,0100 025 050,12992237,c09c443e5c,V:/Wire_drawing/2026/odb/1020_2a_40_rd_1000_cal_75_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1000_cal_75_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1000_cal_75_v_10_fric_050.odb
1020_2a_40_rd_1000_cal_75_v_5,3,0100 025 050,19781734,89a76ec118,E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1000_cal_75_v_5_f_0100.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1000_cal_75_v_5_f_025.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1000_cal_75_v_5_f_050.odb
1020_2a_40_rd_1500_cal_0_v_10,3,0100 025 050,15919519,3d356e3f50,V:/Wire_drawing/2026/odb/1020_2a_40_rd_1500_cal_0_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1500_cal_0_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1500_cal_0_v_10_fric_050.odb
1020_2a_40_rd_1500_cal_0_v_5,3,0100 025 050,24606692,210c54c007,E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1500_cal_0_v_5_f_0100.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1500_cal_0_v_5_f_025.odb ; E:/AISI_1020/Vel_5_updated/1020_2a_40_rd_1500_cal_0_v_5_f_050.odb
1020_2a_40_rd_1500_cal_100_v_10,3,0100 025 050,17992445,baabf1fb6b,V:/Wire_drawing/2026/odb/1020_2a_40_rd_1500_cal_100_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1500_cal_100_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1500_cal_100_v_10_fric_050.odb
1020_2a_40_rd_1500_cal_10_v_10,3,0100 025 050,16094766,05368cfe28,V:/Wire_drawing/2026/odb/1020_2a_40_rd_1500_cal_10_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1500_cal_10_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1500_cal_10_v_10_fric_050.odb
1020_2a_40_rd_1500_cal_30_v_10,3,0100 025 050,16513194,19feb170e1,V:/Wire_drawing/2026/odb/1020_2a_40_rd_1500_cal_30_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1500_cal_30_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1500_cal_30_v_10_fric_050.odb
1020_2a_40_rd_1500_cal_50_v_10,3,0100 025 050,16925196,7925231f96,V:/Wire_drawing/2026/odb/1020_2a_40_rd_1500_cal_50_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1500_cal_50_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1500_cal_50_v_10_fric_050.odb
1020_2a_40_rd_1500_cal_75_v_10,3,0100 025 050,17456190,94619f5ab5,V:/Wire_drawing/2026/odb/1020_2a_40_rd_1500_cal_75_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1500_cal_75_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_1500_cal_75_v_10_fric_050.odb
1020_2a_40_rd_150_cal_0_v_10,3,0100 025 050,9437227,88d7ae74ad,V:/Wire_drawing/2026/odb/1020_2a_40_rd_150_cal_0_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_150_cal_0_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_150_cal_0_v_10_fric_050.odb
1020_2a_40_rd_150_cal_100_v_10,3,0100 025 050,10892258,3756758fd8,V:/Wire_drawing/2026/odb/1020_2a_40_rd_150_cal_100_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_150_cal_100_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_150_cal_100_v_10_fric_050.odb
1020_2a_40_rd_150_cal_10_v_10,3,0100 025 050,9658249,cd720c9be4,V:/Wire_drawing/2026/odb/1020_2a_40_rd_150_cal_10_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_150_cal_10_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_150_cal_10_v_10_fric_050.odb
1020_2a_40_rd_150_cal_30_v_10,3,0100 025 050,9913706,3f1b445df7,V:/Wire_drawing/2026/odb/1020_2a_40_rd_150_cal_30_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_150_cal_30_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_150_cal_30_v_10_fric_050.odb
1020_2a_40_rd_150_cal_50_v_10,3,0100 025 050,10236826,1f9e37ad52,V:/Wire_drawing/2026/odb/1020_2a_40_rd_150_cal_50_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_150_cal_50_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_150_cal_50_v_10_fric_050.odb
1020_2a_40_rd_150_cal_75_v_10,3,0100 025 050,10532504,8eae23a781,V:/Wire_drawing/2026/odb/1020_2a_40_rd_150_cal_75_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_150_cal_75_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_150_cal_75_v_10_fric_050.odb
1020_2a_40_rd_2000_cal_0_v_10,3,0100 025 050,24678022,28b72b52db,V:/Wire_drawing/2026/odb/1020_2a_40_rd_2000_cal_0_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_2000_cal_0_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_2000_cal_0_v_10_fric_050.odb
1020_2a_40_rd_2000_cal_100_v_10,3,0100 025 050,27876528,7c59d9c190,V:/Wire_drawing/2026/odb/1020_2a_40_rd_2000_cal_100_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_2000_cal_100_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/1020_2a_40_rd_2000_cal_100_v_10_fric_050.odb
