family,n_mu_levels,mu_tokens,increment,md5_wire_block,odb_paths
1020_2a_16_rd_1500_cal_0_v_10,3,0100 025 050,12448995,8a9cfa66a5,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_0_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_0_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_0_v_10_fric_050.odb
1020_2a_16_rd_1500_cal_0_v_20,3,0100 025 050,6228142,47506d698a,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_0_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_0_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_0_v_20_f_050.odb
1020_2a_16_rd_1500_cal_100_v_10,3,0100 025 050,14046285,c9f5779cae,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_100_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_100_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_100_v_10_fric_050.odb
1020_2a_16_rd_1500_cal_100_v_20,3,0100 025 050,6993963,5261bd1e80,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_100_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_100_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_100_v_20_f_050.odb
1020_2a_16_rd_1500_cal_10_v_10,3,0100 025 050,12610901,a1003d9277,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_10_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_10_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_10_v_10_fric_050.odb
1020_2a_16_rd_1500_cal_10_v_20,3,0100 025 050,6267318,451f3e87e3,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_10_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_10_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_10_v_20_f_050.odb
1020_2a_16_rd_1500_cal_30_v_10,3,0100 025 050,12929476,394bede57f,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_30_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_30_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_30_v_10_fric_050.odb
1020_2a_16_rd_1500_cal_30_v_20,3,0100 025 050,6436466,88afa82b8c,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_30_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_30_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_30_v_20_f_050.odb
1020_2a_16_rd_1500_cal_50_v_10,3,0100 025 050,13264133,9f0045fd18,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_50_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_50_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_50_v_10_fric_050.odb
1020_2a_16_rd_1500_cal_50_v_20,3,0100 025 050,6597561,628de70729,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_50_v_20_f_0100.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_50_v_20_f_025.odb ; E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_16_rd_1500_cal_50_v_20_f_050.odb
1020_2a_16_rd_1500_cal_75_v_10,3,0100 025 050,13649148,74929f139e,V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_75_v_10_fric_0100.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_75_v_10_fric_025.odb ; V:/Wire_drawing/2026/odb/Vel_10_updated/1020_2a_16_rd_1500_cal_75_v_10_fric_050.odb
