job,Q,k,alpha,mu_token,v,r_max_mm,z_max_mm,increment,odb_path
1020_2a_32_rd_2000_cal_50_v_10_fric_025,0.2,0.5,16.0,025,10.0,18.001,142.9,7074756,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_50_v_10_fric_025.odb
1020_2a_32_rd_2000_cal_50_v_10_fric_050,0.2,0.5,16.0,050,10.0,18.001,142.9,7074756,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_50_v_10_fric_050.odb
1020_2a_32_rd_2000_cal_75_v_10_fric_0100,0.2,0.75,16.0,0100,10.0,18.001,144.3,7340976,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_75_v_10_fric_0100.odb
1020_2a_32_rd_2000_cal_75_v_10_fric_025,0.2,0.75,16.0,025,10.0,18.001,144.3,7340976,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_75_v_10_fric_025.odb
1020_2a_32_rd_2000_cal_75_v_10_fric_050,0.2,0.75,16.0,050,10.0,18.001,144.3,7340976,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_75_v_10_fric_050.odb
1020_2a_32_rd_2500_cal_0_v_10_fric_0100,0.25,0.0,16.0,0100,10.0,18.001,165.4,11417920,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2500_cal_0_v_10_fric_0100.odb
1020_2a_32_rd_2500_cal_0_v_10_fric_025,0.25,0.0,16.0,025,10.0,18.001,165.4,11417920,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2500_cal_0_v_10_fric_025.odb
1020_2a_32_rd_2500_cal_0_v_10_fric_050,0.25,0.0,16.0,050,10.0,18.001,165.4,11417920,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2500_cal_0_v_10_fric_050.odb
1020_2a_32_rd_2500_cal_100_v_10_fric_025,0.25,1.0,16.0,025,10.0,18.001,136.7,5953225,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2500_cal_100_v_10_fric_025.odb
1020_2a_40_rd_2500_cal_0_v_10_fric_0100,0.25,0.0,20.0,0100,10.0,18.002,399.0,217126971,V:/Wire_drawing/2026/odb/1020_2a_40_rd_2500_cal_0_v_10_fric_0100.odb
1020_2a_40_rd_2500_cal_100_v_10_fric_0100,0.25,1.0,20.0,0100,10.0,18.0,140.7,20000003,V:/Wire_drawing/2026/odb/1020_2a_40_rd_2500_cal_100_v_10_fric_0100.odb
1020_2a_40_rd_2500_cal_10_v_10_fric_0100,0.25,0.1,20.0,0100,10.0,18.001,139.5,20000003,V:/Wire_drawing/2026/odb/1020_2a_40_rd_2500_cal_10_v_10_fric_0100.odb
1020_2a_40_rd_2500_cal_30_v_10_fric_0100,0.25,0.3,20.0,0100,10.0,18.001,138.9,20000003,V:/Wire_drawing/2026/odb/1020_2a_40_rd_2500_cal_30_v_10_fric_0100.odb
1020_2a_40_rd_2500_cal_50_v_10_fric_0100,0.25,0.5,20.0,0100,10.0,18.001,139.6,20000003,V:/Wire_drawing/2026/odb/1020_2a_40_rd_2500_cal_50_v_10_fric_0100.odb
1020_2a_40_rd_2500_cal_50_v_20_f_0100,0.25,0.5,20.0,0100,20.0,18.001,183.9,20000003,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_40_rd_2500_cal_50_v_20_f_0100.odb
1020_2a_40_rd_2500_cal_75_v_10_fric_0100,0.25,0.75,20.0,0100,10.0,18.001,139.5,20000003,V:/Wire_drawing/2026/odb/1020_2a_40_rd_2500_cal_75_v_10_fric_0100.odb
1020_2a_40_rd_2500_cal_75_v_20_f_0100,0.25,0.75,20.0,0100,20.0,18.001,166.6,20000003,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_40_rd_2500_cal_75_v_20_f_0100.odb
1020_2a_8_rd_2500_cal_0_v_10_fric_0100,0.25,0.0,4.0,0100,10.0,18.002,413.2,327383127,V:/Wire_drawing/2026/odb/1020_2a_8_rd_2500_cal_0_v_10_fric_0100.odb
1020_2a_8_rd_2500_cal_0_v_10_fric_025,0.25,0.0,4.0,025,10.0,18.002,413.2,327383127,V:/Wire_drawing/2026/odb/1020_2a_8_rd_2500_cal_0_v_10_fric_025.odb
1020_2a_8_rd_2500_cal_0_v_10_fric_050,0.25,0.0,4.0,050,10.0,18.002,413.2,327383127,V:/Wire_drawing/2026/odb/1020_2a_8_rd_2500_cal_0_v_10_fric_050.odb
1020_2a_8_rd_2500_cal_0_v_20_f_0100,0.25,0.0,4.0,0100,20.0,18.0,170.1,5679410,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_8_rd_2500_cal_0_v_20_f_0100.odb
1020_2a_8_rd_2500_cal_100_v_10_fric_0100,0.25,1.0,4.0,0100,10.0,18.0,159.2,20000003,V:/Wire_drawing/2026/odb/1020_2a_8_rd_2500_cal_100_v_10_fric_0100.odb
1020_2a_8_rd_2500_cal_100_v_20_f_0100,0.25,1.0,4.0,0100,20.0,18.0,161.5,20000003,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_8_rd_2500_cal_100_v_20_f_0100.odb
1020_2a_8_rd_2500_cal_10_v_10_fric_0100,0.25,0.1,4.0,0100,10.0,18.0,110.6,530885,V:/Wire_drawing/2026/odb/1020_2a_8_rd_2500_cal_10_v_10_fric_0100.odb
1020_2a_8_rd_2500_cal_10_v_20_f_0100,0.25,0.1,4.0,0100,20.0,18.0,184.4,20000003,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_8_rd_2500_cal_10_v_20_f_0100.odb
1020_2a_8_rd_2500_cal_30_v_20_f_0100,0.25,0.3,4.0,0100,20.0,18.0,160.5,20000003,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_8_rd_2500_cal_30_v_20_f_0100.odb
1020_2a_8_rd_2500_cal_50_v_20_f_0100,0.25,0.5,4.0,0100,20.0,18.0,164.8,20000003,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_8_rd_2500_cal_50_v_20_f_0100.odb
1020_2a_8_rd_2500_cal_75_v_20_f_0100,0.25,0.75,4.0,0100,20.0,18.0,161.9,20000003,E:/Abaqus_calc/Vel_20/odb/Correct/1020_2a_8_rd_2500_cal_75_v_20_f_0100.odb
1020_2a_8_rd_2500_cal_75_v_250_f_025,0.25,0.75,4.0,025,250.0,18.0,112.6,42034,H:/Calculations_Abaqus_2022/Vel_250/1020_2a_8_rd_2500_cal_75_v_250_f_025.odb
