job,Q,k,alpha,mu_token,v,r_max_mm,z_max_mm,increment,odb_path
1020_2a_24_rd_250_cal_100_v_10_fric_0100,0.025,1.0,12.0,0100,10.0,18.182,113.9,3345670,V:/Wire_drawing/2026/odb/1020_2a_24_rd_250_cal_100_v_10_fric_0100.odb
1020_2a_24_rd_250_cal_100_v_10_fric_025,0.025,1.0,12.0,025,10.0,18.128,113.8,3340903,V:/Wire_drawing/2026/odb/1020_2a_24_rd_250_cal_100_v_10_fric_025.odb
1020_2a_24_rd_250_cal_100_v_10_fric_050,0.025,1.0,12.0,050,10.0,18.142,113.9,3341562,V:/Wire_drawing/2026/odb/1020_2a_24_rd_250_cal_100_v_10_fric_050.odb
1020_2a_24_rd_250_cal_10_v_10_fric_0100,0.025,0.1,12.0,0100,10.0,18.111,113.5,2992437,V:/Wire_drawing/2026/odb/1020_2a_24_rd_250_cal_10_v_10_fric_0100.odb
1020_2a_24_rd_250_cal_10_v_10_fric_025,0.025,0.1,12.0,025,10.0,18.086,113.4,2987533,V:/Wire_drawing/2026/odb/1020_2a_24_rd_250_cal_10_v_10_fric_025.odb
1020_2a_24_rd_250_cal_10_v_10_fric_050,0.025,0.1,12.0,050,10.0,18.102,113.4,2987477,V:/Wire_drawing/2026/odb/1020_2a_24_rd_250_cal_10_v_10_fric_050.odb
1020_2a_24_rd_250_cal_30_v_10_fric_0100,0.025,0.3,12.0,0100,10.0,18.177,113.6,3071067,V:/Wire_drawing/2026/odb/1020_2a_24_rd_250_cal_30_v_10_fric_0100.odb
1020_2a_24_rd_250_cal_30_v_10_fric_025,0.025,0.3,12.0,025,10.0,18.092,113.5,3065881,V:/Wire_drawing/2026/odb/1020_2a_24_rd_250_cal_30_v_10_fric_025.odb
1020_2a_24_rd_250_cal_30_v_10_fric_050,0.025,0.3,12.0,050,10.0,18.157,113.5,3066191,V:/Wire_drawing/2026/odb/1020_2a_24_rd_250_cal_30_v_10_fric_050.odb
1020_2a_24_rd_250_cal_50_v_10_fric_0100,0.025,0.5,12.0,0100,10.0,18.159,113.7,3149750,V:/Wire_drawing/2026/odb/1020_2a_24_rd_250_cal_50_v_10_fric_0100.odb
1020_2a_24_rd_250_cal_50_v_10_fric_025,0.025,0.5,12.0,025,10.0,18.132,113.6,3144479,V:/Wire_drawing/2026/odb/1020_2a_24_rd_250_cal_50_v_10_fric_025.odb
1020_2a_24_rd_250_cal_50_v_10_fric_050,0.025,0.5,12.0,050,10.0,18.125,113.6,3144587,V:/Wire_drawing/2026/odb/1020_2a_24_rd_250_cal_50_v_10_fric_050.odb
1020_2a_24_rd_250_cal_75_v_10_fric_0100,0.025,0.75,12.0,0100,10.0,18.173,113.8,3247626,V:/Wire_drawing/2026/odb/1020_2a_24_rd_250_cal_75_v_10_fric_0100.odb
