stage,family,backend,split,seed,frac,corrupt_rate,n_train,n_test,epochs,seconds,macro_rmse,macro_nrmse,macro_r2,rmse_normal_only,rmse_sigma_rr,rmse_sigma_tt,rmse_sigma_zz,rmse_tau_rz,nrmse_sigma_rr,nrmse_sigma_tt,nrmse_sigma_zz,nrmse_tau_rz,r2_sigma_rr,r2_sigma_tt,r2_sigma_zz,r2_tau_rz,eq_res_median,bc_sigma_rr,bc_tau_rz,lambda_physics,lambda_bc,learning_rate,n_units,n_layers,eq_r_reduced,eq_z_full,eq_z_reduced,phys_gain,macro_nrmse_global,macro_r2_global,r2_normal_only,r2_normal_only_global,nrmse_sigma_rr_global,nrmse_sigma_tt_global,nrmse_sigma_zz_global,nrmse_tau_rz_global,error
main,vpinn,torch,extrap:alpha_max,1,,,1377,379,534,265.9,12.983127290403608,0.39019689629928295,0.7480463350699457,17.07552286641511,8.495788736548239,10.960956347142554,31.76982351555454,0.7059405623691085,0.22946035265749246,0.16841955220588747,0.22746208586930186,0.93544559446445,0.9473479465582963,0.9716348544347675,0.9482609994919856,0.12494153979473299,1813.078977370248,1.22378066269913,0.0972998612772741,0.3,0.5,0.003,96,3,,,,4.9112,0.3763379298332957,0.7491518103053194,0.9557479334950165,0.9648764582582738,0.189093865721003,0.1553719169699844,0.21324563908539368,0.9476402975568018,
main,vpinn,torch,extrap:alpha_max,0,,,1377,379,800,416.4,12.139505390074186,0.35766240680926586,0.7863342791529382,15.968764465027226,6.966626731031998,10.452005892034505,30.487660772015175,0.6517281652150706,0.18815964898689305,0.1605993214678437,0.21828219817094618,0.8636084586113806,0.9645959464931273,0.9742078579440674,0.9523528819616591,0.25418043021289916,1871.1603343373845,1.2515692105274316,0.10194627662670627,0.3,0.5,0.003,96,3,,,,5.39275,0.34568061228002017,0.7866842771820128,0.9637188954662846,0.9707096024714014,0.15505874974727074,0.14815752751814626,0.20463949704863768,0.874866674806026,
main,vpinn,torch,extrap:alpha_max,2,,,1377,379,482,236.7,12.965402405841472,0.3987775582367119,0.724916765304271,17.038848348432946,7.7510055965207,10.723336833135455,32.64220261564268,0.7450645780670478,0.20934471569151158,0.16476843173090364,0.23370804973742595,0.9872890357870063,0.9561747900120379,0.9728513639049378,0.9453805474879281,0.025260359812180333,1945.6320674262383,2.852885464193131,0.08451676756940717,0.3,0.5,0.003,96,3,,,,7.33098,0.38594535496809135,0.7247020624582714,0.9581355671349678,0.966375813744521,0.1725169559791473,0.1520036525383517,0.21910122838798946,1.000159582966877,
main,mlp,torch,matched:alpha_max,0,,,1377,379,370,55.7,8.074006023367813,0.1962563396304316,0.9408339573922433,10.651034707151291,4.4074351133560095,7.2433888267701825,20.302280181327685,0.3429199720173766,0.09903185804259847,0.10526081374056481,0.13682189395718833,0.44391079278137485,0.9901926910926302,0.9889201610906738,0.9812797693339677,0.8029432080517012,1387.311250989872,4.310940756615536,0.21313420567610641,0.0,0.0,0.003,96,3,,,,1.0,0.19934377342860696,0.9373404026884804,0.9867975405057573,0.9870880770003438,0.09809788935942695,0.10267527501536293,0.1362731118112217,0.46032881752841626,
main,mlp,torch,matched:alpha_max,1,,,1377,379,304,51.1,8.463288928014213,0.20051529796286946,0.9382600276588828,11.167893504954117,4.330544534081868,7.154827721329174,22.018308259451313,0.3494751971944983,0.09730418270861226,0.10397384513409817,0.1483866152414768,0.45239654876729063,0.9905318960274085,0.9891894395280303,0.9779814124171776,0.7953373626629145,1369.1291626203993,3.199172233430123,0.19412418850515892,0.0,0.0,0.003,96,3,,,,1.0,0.20368157323190256,0.9346249639482209,0.9859009159908722,0.986193776402624,0.09638650771808192,0.1014199184309954,0.14779144788346305,0.4691284188950699,
main,mlp,torch,matched:alpha_max,2,,,1377,379,283,41.3,8.271576741073932,0.2015340327104459,0.9382290388717496,10.912266043985033,4.881030574080759,7.224178975333507,20.63158858254083,0.3495088323406301,0.10967320323086602,0.10498165647834706,0.13904118158141465,0.4524400895511559,0.9879717884930806,0.988978851803062,0.9806675498244438,0.7952979653664121,1484.9505587010726,3.6759007479680035,0.19899044885223013,0.0,0.0,0.003,96,3,,,,1.0,0.2046747297297163,0.9346024268288972,0.9858727300401955,0.9861778487111157,0.10863887610396639,0.10240297473900949,0.13848349804262475,0.4691735700332645,
main,mlp,torch,matched:alpha_max,3,,,1377,379,414,73.1,7.8324537832025385,0.19413768479840554,0.9406215869134336,10.32794332314972,4.186820098145355,6.93026858030625,19.866741290997552,0.34598516336099555,0.09407479927565242,0.10071055519036405,0.1338866938055429,0.4478786909220627,0.9911499321412454,0.9898573840732483,0.9820743532218206,0.7994046782174201,1313.9822276471432,3.932172627531272,0.20219589480661582,0.0,0.0,0.003,96,3,,,,1.0,0.19730437963842196,0.9370439338260663,0.9876938898121047,0.9879611568315338,0.09318758057516807,0.09823678521625905,0.13334968452275978,0.46444346823950095,
main,vpinn,torch,extrap:alpha_max,4,,,1377,379,516,276.2,13.935093861568228,0.41109355672099,0.7253023942706394,18.335279210467327,8.737737222719566,12.646541429741253,33.62155897894116,0.7345378148709312,0.23599507082003185,0.19431925254455398,0.24071993764093222,0.9733399658784421,0.9443063265486451,0.9622400280905247,0.9420539116221449,0.05260931082124265,1586.5734317245024,1.8714163904839838,0.10973202186330513,0.3,0.5,0.003,96,3,,,,2.76855,0.3963619207683263,0.7267150606735813,0.9495334220871049,0.9597042599160824,0.1944790013422154,0.1792651409921422,0.2256748712501124,0.9860286694888352,
main,vpinn,torch,extrap:alpha_max,3,,,1377,379,523,287.9,12.854759420024704,0.40321488863341415,0.7250086601748332,16.89258107494667,8.890354849755658,11.122064016645925,30.665324358438426,0.7412944552588095,0.2401170770995429,0.17089503707192888,0.21955421436364136,0.9822932259985436,0.942343789285169,0.9707948863041832,0.9517959469551636,0.035100018154817,1974.9497274917894,1.8187042629908354,0.05763749499783382,0.3,0.5,0.003,96,3,,,,3.93589,0.38911553734403104,0.7258504279948667,0.9549782075148386,0.964541009448764,0.19787586748005512,0.15765562348760329,0.20583201185787106,0.9950986465505947,
main,mlp,torch,matched:alpha_max,4,,,1377,379,423,64.2,7.898704530240892,0.19127206744917724,0.9434722832715248,10.419767486559081,4.262652470152594,6.807206419974155,20.189443569550495,0.3355156612863231,0.0957786974628083,0.09892221779097522,0.13606146119824797,0.4343258933446775,0.9908264411123274,0.9902143948273145,0.9814872787765974,0.8113610183698594,1234.322367501623,3.503046478292421,0.20286099414409323,0.0,0.0,0.003,96,3,,,,1.0,0.19431823359370995,0.9401181837375272,0.9875093715720799,0.9877744551452213,0.09487540931176965,0.09649237504330459,0.13551572908988313,0.45038942092988243,
