stage,family,backend,split,seed,frac,corrupt_rate,n_train,n_test,epochs,seconds,macro_rmse,macro_nrmse,macro_r2,rmse_normal_only,rmse_sigma_rr,rmse_sigma_tt,rmse_sigma_zz,rmse_tau_rz,nrmse_sigma_rr,nrmse_sigma_tt,nrmse_sigma_zz,nrmse_tau_rz,r2_sigma_rr,r2_sigma_tt,r2_sigma_zz,r2_tau_rz,eq_res_median,bc_sigma_rr,bc_tau_rz,lambda_physics,lambda_bc,learning_rate,n_units,n_layers,eq_r_reduced,eq_z_full,eq_z_reduced,phys_gain,macro_nrmse_global,macro_r2_global,r2_normal_only,r2_normal_only_global,nrmse_sigma_rr_global,nrmse_sigma_tt_global,nrmse_sigma_zz_global,nrmse_tau_rz_global,error
main,mlp,torch,matched:alpha_max,0,,,1461,387,800,85.2,10.912836812558696,0.235704277560704,0.9208449713352226,14.31568097365978,5.139253626651339,9.462165534883887,28.34562375944412,0.7043043292554392,0.1165959345144046,0.1374648352203148,0.1911850348068787,0.497571305701218,0.986405388054712,0.9811034190778511,0.963448282465892,0.7524227957424352,1891.352121744337,5.677889428769293,0.2642671358845469,0.0,0.0,0.003,96,3,,,,,,,,,,,,,
main,mlp,torch,matched:alpha_max,1,,,1461,387,800,98.5,10.99983159278566,0.2340432765610846,0.922693894889692,14.435626368131722,4.961963538259688,9.736108980976583,28.60880658515889,0.6924472667474817,0.1125736960654267,0.1414446420138005,0.1929601454243718,0.4891946227407394,0.9873271629541684,0.9799934132455872,0.9627663822778048,0.7606886210812075,1812.8290409318183,3.514511731492559,0.4202147392527847,0.0,0.0,0.003,96,3,,,,,,,,,,,,,
main,mlp,torch,matched:alpha_max,2,,,1461,387,686,80.4,11.154424769902104,0.2478987274553729,0.9104798127947248,14.620472671874763,5.116771577420251,10.26504408956195,28.479602348642093,0.7562810639841251,0.1160858768814628,0.1491289271043402,0.1920886910981133,0.5342914147375751,0.9865240691886612,0.9777605631007076,0.9631019347522132,0.7145326841373171,1765.0622039506989,3.7709346356714506,0.3742367622378531,0.0,0.0,0.003,96,3,,,,,,,,,,,,,
main,mlp,torch,matched:alpha_max,4,,,1461,387,577,60.9,11.802224585597592,0.2568335156240076,0.9041542774336822,15.47636157669209,5.187882121656006,10.350104702391889,30.89109790602837,0.7798136123141024,0.1176991851478614,0.1503646741522331,0.2083537013864095,0.5509165018095263,0.9861469018155288,0.977390464767092,0.9565887351185824,0.6964910080335254,1956.0881406259716,3.723826694879549,0.3751858724147247,0.0,0.0,0.003,96,3,,,,,,,,,,,,,
main,mlp,torch,matched:alpha_max,3,,,1461,387,800,115.3,10.683776640809416,0.23532994809424,0.9194842823718,14.006341306848114,4.842653286974899,9.612425634605511,27.56394499896393,0.7160826426933193,0.1098668652187143,0.1396477900388784,0.1859127824726745,0.5058923546466928,0.9879292719270124,0.9804984947372568,0.9654364373132676,0.7440729255096632,1817.6297825757736,3.856011199549196,0.3424024107482348,0.0,0.0,0.003,96,3,,,,,,,,,,,,,
main,mlp,torch,interp:alpha_mid,0,,,1469,379,475,46.9,23.004738746315383,0.5356465533888821,0.5186650460734578,30.119412577326425,6.792697641610024,19.88227092041488,63.683269169954364,1.6607172532822554,0.1505483192761876,0.2895971185350052,0.421303982774339,1.2811367929699964,0.977335203563114,0.9161335089362196,0.8225029540984772,-0.6413114823039798,2765.7046671468115,3.527520368508444,0.4626307442623604,0.0,0.0,0.003,96,3,,,,,,,,,,,,,
main,mlp,torch,interp:alpha_mid,1,,,1469,379,690,69.0,21.377414026200576,0.4850567543674859,0.6173128418782714,28.01362787505877,6.517519372870182,18.848989854251663,58.67437439805446,1.468772479625993,0.1444494719483835,0.2745467643478287,0.3881670640168042,1.133063717156927,0.9791343500538322,0.9246240741861356,0.8493263304125722,-0.283833387139454,2329.290238182208,2.313423382830598,0.407881748534125,0.0,0.0,0.003,96,3,,,,,,,,,,,,,
main,mlp,torch,interp:alpha_mid,2,,,1469,379,704,72.7,23.195113526171895,0.5716435672796527,0.4346539139945228,30.32035786213822,7.394144359366131,20.92004933805601,62.64687988899252,1.819380518272943,0.1638783388456881,0.3047129793252383,0.4144476304314874,1.403535320516197,0.9731438900571766,0.9071500002307342,0.8282331616297229,-0.9699113959395425,2738.462926516456,4.448776488584632,0.8666190935653602,0.0,0.0,0.003,96,3,,,,,,,,,,,,,
main,mlp,torch,interp:alpha_mid,3,,,1469,379,716,72.9,22.07575618404816,0.5103636687089309,0.5649369935181827,28.909253837536934,6.0948869855749415,19.839240133079866,60.79363439395599,1.5752632235818358,0.1350825607540409,0.2889703494868219,0.4021872719685168,1.215214492626344,0.98175270178013,0.9164961371174616,0.8382453982665202,-0.4767462630913808,2517.9085061077103,3.690997770331972,0.6863071216853887,0.0,0.0,0.003,96,3,,,,,,,,,,,,,
main,mlp,torch,interp:alpha_mid,4,,,1469,379,540,57.1,22.069271676544854,0.4910848857347848,0.6189088995551573,28.941460819016417,6.577811788195612,21.00700424529652,59.23956642355712,1.4527042491301818,0.1457857483839402,0.3059795293425943,0.39190615678764,1.1206681084249646,0.9787465155681336,0.9063765276232816,0.8464095642719397,-0.2558970092427257,2440.620308569185,5.006983840507608,0.5800642080289278,0.0,0.0,0.003,96,3,,,,,,,,,,,,,
